棋局ID: GAME001
红方: 红方玩家
黑方: 黑方玩家
结果: 未结束
总步数: 35

步数,玩家,棋子,走法,起始坐标,目标坐标,时间
1,红方,兵,P64-54,(6,4),(5,4),2025-12-13 15:30:37
2,黑方,卒,P36-46,(3,6),(4,6),2025-12-13 15:30:38
3,红方,炮,C77-74,(7,7),(7,4),2025-12-13 15:30:40
4,黑方,卒,P34-44,(3,4),(4,4),2025-12-13 15:30:42
5,红方,兵,P54-44,(5,4),(4,4),2025-12-13 15:30:43
6,黑方,炮,C27-24,(2,7),(2,4),2025-12-13 15:30:45
7,红方,炮,C74-24,(7,4),(2,4),2025-12-13 15:30:46
8,黑方,将,K04-14,(0,4),(1,4),2025-12-13 15:30:48
9,红方,炮,C24-34,(2,4),(3,4),2025-12-13 15:30:49
10,黑方,卒,P46-56,(4,6),(5,6),2025-12-13 15:30:52
11,红方,马,N97-76,(9,7),(7,6),2025-12-13 15:30:53
12,黑方,卒,P56-66,(5,6),(6,6),2025-12-13 15:30:55
13,红方,车,R98-88,(9,8),(8,8),2025-12-13 15:30:57
14,黑方,卒,P66-76,(6,6),(7,6),2025-12-13 15:30:58
15,红方,车,R88-84,(8,8),(8,4),2025-12-13 15:31:00
16,黑方,车,R00-10,(0,0),(1,0),2025-12-13 15:31:13
17,红方,兵,P44-43,(4,4),(4,3),2025-12-13 15:31:19
18,黑方,车,R10-13,(1,0),(1,3),2025-12-13 15:31:24
19,红方,炮,C34-35,(3,4),(3,5),2025-12-13 15:31:26
20,黑方,象,B06-24,(0,6),(2,4),2025-12-13 15:31:31
21,红方,车,R84-24,(8,4),(2,4),2025-12-13 15:31:40
22,黑方,将,K14-15,(1,4),(1,5),2025-12-13 15:31:42
23,红方,炮,C35-34,(3,5),(3,4),2025-12-13 15:31:44
24,黑方,仕,A03-14,(0,3),(1,4),2025-12-13 15:31:49
25,红方,炮,C71-01,(7,1),(0,1),2025-12-13 15:31:58
26,黑方,车,R08-28,(0,8),(2,8),2025-12-13 15:32:02
27,红方,车,R24-28,(2,4),(2,8),2025-12-13 15:32:03
28,黑方,马,N07-28,(0,7),(2,8),2025-12-13 15:32:04
29,红方,车,R90-80,(9,0),(8,0),2025-12-13 15:32:08
30,黑方,卒,P76-86,(7,6),(8,6),2025-12-13 15:32:10
31,红方,车,R80-86,(8,0),(8,6),2025-12-13 15:32:12
32,黑方,将,K15-25,(1,5),(2,5),2025-12-13 15:32:14
33,红方,车,R86-85,(8,6),(8,5),2025-12-13 15:32:15
34,黑方,车,R13-23,(1,3),(2,3),2025-12-13 15:32:17
35,红方,车,R85-25,(8,5),(2,5),2025-12-13 15:32:18
